,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
movie_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
user_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.000262519210569,3.8945758907234493,4.1626655476672045,3.5670849760979864,3.9267642101341096,4.146414925161023,2.569892558330139,4.135018582967489,4.0009569301810215,3.803005025744693,3.5617226346875728,3.550530591327671,4.996041767941796,3.9997820933743387,3.2582386596463757,3.98092814411468,2.107992549930453,3.0973486221436475,3.67864372524842,2.934278967838535,4.004073696523951,3.624279032471432,3.484153720404923,3.777767451342607,3.795358760316175,3.9987759666780094,3.3497252069178782,3.998984386223393,3.5366463811127784,2.7840890120910817,2.3328601198582644,3.2532910891702973,3.208561049962439,4.409147086018147
2,4.997033031211343,4.996863990390003,4.40972232290183,3.937533138151578,4.888967145403273,4.718034834067502,3.3641788634662695,4.756154332147167,4.595315397751471,4.849532649906963,3.9428916656388973,4.187080774931427,4.736174742840164,4.001351550370463,3.9997718822991954,4.184327802061239,2.15087110207736,3.54899742242318,4.015879876275711,4.440243283812515,4.999364656027397,4.6798415932712905,3.8592473258490076,4.787684026460255,4.270762758556436,4.485225688759399,4.410824749637156,4.267919399515583,3.477198451894002,4.321837416554233,2.999394755531304,4.318206225752133,3.9104656283246975,3.9999566734009826
3,4.001871972153982,3.998258817428753,4.995572551778297,4.22406012097535,4.5562972053752,4.285780584720543,2.8116211853449355,4.430903981540464,4.519675049555071,4.394969101166739,3.7818176243570227,3.5088356655368327,4.996521103725802,4.20347533346336,3.446796498063583,3.641964477414264,2.4621751893053045,3.430687787802703,3.7652068140563157,3.2774144663512343,4.440019402890053,3.0011384474254554,3.0015994725181114,3.9124928467593043,4.1065753262207485,4.373150475360758,3.9708063819023054,4.513095216691769,3.2349381309854444,2.8964378636247203,1.6348894888940395,2.4892418742732083,3.4788069502096275,4.50581543637136
4,4.998841046560802,4.9988235800498755,4.965416651562991,4.996194611233573,5.001201210846042,4.984307631155707,3.8078449646260237,5.085956183024394,4.933571434375302,5.076738767041481,4.50849775315484,3.904073560114333,5.000018647920927,4.24752307265333,3.5828676227468965,4.354566099125654,2.6702866022929737,3.5350928916482482,4.06753447809054,4.151366178615255,4.630577307879625,4.657615262250903,3.555589237333703,4.99799413543575,4.09312886274173,4.727751117528566,4.469849537193947,4.919090589712015,3.0255298152994357,3.6946602830209128,2.2004446716867267,4.172177395624638,4.188352369001889,4.5682435966126524
5,4.998114317040487,4.109068529850811,5.403929875270481,4.244824844107029,5.164779905931809,4.425272667694027,3.167213201949663,4.567382056297395,4.998071219033665,4.949185277172505,3.964985240450016,4.287904120267423,4.719498370189539,4.686337170785089,3.1534577683374834,4.18250279723943,2.9055915897979867,3.480839392753222,4.996935138476391,3.3471020940717175,3.9995289143702366,3.455816993255227,3.0628719877864476,4.594914081824956,4.426782147439774,4.612028655516656,3.6885268152250075,5.066796410279346,3.001791337280931,3.9145587071562384,2.9996275098796823,2.0031445734086595,4.998088266916906,4.998811671750399
6,4.997355353014196,4.99623184705828,4.195644249202853,3.8695460306520095,4.519091293720504,4.566204520759352,3.5090382235589814,4.680595515784141,4.372322071624772,4.6082018712842965,3.8533889036707114,3.9446295111778915,4.449179094706608,3.6655620293450757,4.096470733878979,4.060375252875593,2.2753154792482757,3.136258311875928,3.523951356721584,4.236648114774273,4.9153686172834785,4.965552549937292,3.8491741748125023,4.929913980556147,3.9971354910097534,4.190817076641965,4.73299730898658,3.9202832765190605,3.519926987573536,3.7424277172242917,2.0011099460591923,4.9979381607924775,3.9999658348029965,3.001773039572261
7,4.99793687022891,4.133099741046794,4.0924736027824515,2.004203412009172,4.126576225164475,4.224222354564707,2.755392478485124,4.127694467402027,4.046559895157352,3.9824688002520743,3.188222518925679,4.996630735632718,4.998783697031763,4.728489269221391,4.088381155495134,4.998715612219435,2.6435564358570245,2.9242700955681364,4.447151539742146,3.5702667071435896,4.626033713810294,4.999388224426587,4.998177764688655,4.670895333748148,4.483245319411176,3.902704442437349,3.774200264204745,3.620032294964062,5.302513827572772,4.157452974451445,4.0870032739940285,4.675292019151227,4.826428998460099,4.0002092954537005
8,4.003178029437439,4.701465672978935,4.9990351180481385,4.182889672048289,4.821271805655135,4.40256765073758,3.2283097926282975,4.518737671220028,4.901341548131006,5.000081531635995,4.277473932044931,3.9949899417999766,4.386228250265342,4.998484944037529,3.535693730267229,3.9730587562458317,3.0762394716116743,4.011899473306802,3.355200636287174,4.096197906343859,5.0104327216557545,3.6483609772058925,3.000234795979979,4.464690229688081,4.3375039544627825,4.761337064041009,4.996211858108723,4.996319096824525,3.4087150831476687,3.199748191899467,2.1163526650216866,3.0410832419849707,3.923887240989694,4.514991619990693
9,4.998567937770354,4.653739883545465,4.999643723766647,4.127128416797919,4.848101590185338,4.646148150241872,3.2119732440690143,4.828601303528261,4.787642455366669,4.737575136017276,4.296670323412383,4.371855911812774,5.000311740074786,4.884346842213941,3.3903191052978867,4.997584644558921,2.9918508513061597,3.481272935869542,4.326855172891817,3.6889959223713475,4.607698131671475,4.631398896101702,4.022464025662742,4.735415375164651,4.418649723446653,4.7254941631991345,4.030868899026231,4.99760749814764,3.9996798121663195,3.580019701326829,2.7051977702681973,3.8128665497852823,4.435099283986269,4.94186075898746
10,4.000830793831367,3.9810482343736107,3.9998791145485355,2.487760958464156,3.882118571253025,4.177358742969873,2.7721064436310163,4.002094763515395,4.094468807157907,3.8264338405602727,2.650091860494199,3.897112624980728,4.998998484476127,2.8736865997661227,4.994959682282162,3.523897032400244,2.1291927568992843,2.2889305180383173,3.881452463007655,4.043635629646406,4.002470685373639,4.0002543496934955,4.9960383502459225,4.0391211939412,3.4546303021595466,3.5509215785008634,3.973155527542155,3.3379994628344347,4.999894995945489,3.7701239308856906,2.019664217544638,4.288142298108427,3.509532435574838,3.788531453404442
